stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_5_11,11,ATOCHA,Avda de la Ciudad de Barcelona 2 B,40.4066011651398,-3.68921184083959,A,http://www.crtm.es,0,est_90_54,,2
par_5_133,133,FUENTE DE LA MORA,Calle de Dulce Chacón 15,40.4847551076476,-3.66273198940419,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_142,142,AEROPUERTO T4,Ctra de Alcobendas a Barajas SN,40.4917812474987,-3.59324027187479,A,http://www.crtm.es,0,est_90_33,,2
par_5_18,18,CHAMARTIN,Calle de Agustín de Foxá 40,40.4721094623497,-3.68237859937536,A,http://www.crtm.es,0,est_90_25,,2
par_5_25,25,DELICIAS,Calle de Ramírez de Prado 3 B,40.400382320912,-3.69267182175509,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_46,46,MENDEZ ALVARO,Calle del Ombu 16,40.3953883033481,-3.67798602503064,A,http://www.crtm.es,0,est_90_13,,1
par_5_51,51,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.4466277031815,-3.69225017986236,A,http://www.crtm.es,0,est_90_71,,2
par_5_57,57,PIRAMIDES,Paseo del Doctor Vallejo Nágera 37,40.4026028948529,-3.71124315951466,A,http://www.crtm.es,0,,Europe/Madrid,1
par_5_61,61,PRINCIPE PIO,Paseo de la Florida 2,40.4210790188043,-3.72017231064503,A,http://www.crtm.es,0,est_90_18,,0
par_5_65,65,RECOLETOS,Paseo de Recoletos 20,40.4234206237613,-3.69076267999387,A,http://www.crtm.es,0,,Europe/Madrid,0
est_90_13,13,Méndez Álvaro Estación Sur,Calle del Ombu 16,40.3953876124229,-3.67810384917359,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_18,18,Intercambiador de Príncipe Pío,Paseo de la Florida 2,40.421078357945,-3.72027839174779,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_25,25,Chamartín,Calle de Agustín de Foxá 40,40.4721082085893,-3.68259092381877,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_33,33,Aeropuerto T4,Ctra de Alcobendas a Barajas SN,40.491771088008,-3.59346438208196,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_54,54,Atocha-Renfe,Avda de la Ciudad de Barcelona 2 B,40.4066003220967,-3.68935325293995,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_71,71,Nuevos Ministerios,Calle de Raimundo Fernández Villaverde 67,40.4466360053315,-3.6923681855277,A,http://www.crtm.es,1,,Europe/Madrid,0
par_5_10,10,ASAMBLEA DE MADRID-ENTREVIAS,Calle del Vizconde de Arlessón 45,40.3816811582486,-3.66791743399165,A,http://www.crtm.es,0,,Europe/Madrid,0
par_5_106,106,GARENA LA,Calle   Fausto Elhuyar 6,40.4804463238511,-3.39308128237708,B3,http://www.crtm.es,0,,Europe/Madrid,1
par_5_12,12,AZUQUECA,Paseo de la Estacion SN,40.5610431126363,-3.26537808007204,C1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_143,143,SOTO DEL HENARES,Paseo de la Democracia 17,40.463542902173,-3.44124824645267,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_5_2,2,ALCALÁ DE HENARES,Calle   Pedro Lainez 2,40.4890388725212,-3.36625200624717,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_5_22,22,COSLADA,Calle de Luis Braille 8,40.4237445026866,-3.56105002582089,B1,http://www.crtm.es,0,,Europe/Madrid,1
par_5_3,3,ALCALÁ DE HENARES UNIVERSIDAD,Ctra del  Campus SN,40.5053487667517,-3.33532393016683,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_5_38,38,GUADALAJARA,Plaza de la Estación SN,40.6440936102746,-3.18230377067774,C2,http://www.crtm.es,0,,Europe/Madrid,0
