clustering_mode,model,rand_score,cluster_split
KMeans,stemmed_txts,0.0,1
AgglomerativeClustering,stemmed_txts,0.0,1
MiniBatchKMeans,stemmed_txts,0.0,1
KMeans,stanford_ner_no_thomas_baker,-0.11764705882352947,2
AgglomerativeClustering,trigrams,-0.06008583690987128,2
MiniBatchKMeans,stanford_ner_no_thomas_baker,-0.11764705882352947,2
KMeans,no_stop_words,-0.044847837693539755,3
AgglomerativeClustering,primitive,-0.11351017890191237,3
MiniBatchKMeans,stemmed_txts,-0.044847837693539755,3
KMeans,trigrams,-0.058949624866023516,4
AgglomerativeClustering,primitive,-0.1496421600520495,4
MiniBatchKMeans,no_repeated_words,-0.09615384615384613,4
KMeans,bigrams,-0.11130039750141958,5
AgglomerativeClustering,no_tomas_baker,-0.16732026143790849,5
MiniBatchKMeans,trigrams,-0.13772455089820362,5
KMeans,stemmed_txts,0.0029985007496251713,6
AgglomerativeClustering,stemmed_txts,-0.14579191517561302,6
MiniBatchKMeans,no_tomas_stemmed_no_stop,-0.058823529411764705,6
KMeans,no_stop_words,-0.004882017900732276,7
AgglomerativeClustering,stemmed_txts,-0.10894941634241244,7
MiniBatchKMeans,stemmed_txts,-0.007575757575757586,7
KMeans,no_tomas_baker,-0.08227848101265822,8
AgglomerativeClustering,stemmed_txts,-0.07605177993527505,8
MiniBatchKMeans,trigrams,-0.07193229901269399,8
KMeans,no_tomas_baker,-0.008424599831508015,9
AgglomerativeClustering,no_tomas_baker,-0.11028806584362143,9
MiniBatchKMeans,bigrams,-0.029411764705882353,9
KMeans,stemmed_txts,0.01041666666666667,10
AgglomerativeClustering,no_tomas_baker,-0.12323064113238967,10
MiniBatchKMeans,trigrams,-0.04980544747081712,10
clustering_mode,model,rand_score,cluster_split
AgglomerativeClustering,stanford_ner_txts,0.0,1
KMeans,stanford_ner_txts,0.0,1
MiniBatchKMeans,stanford_ner_txts,0.0,1
AgglomerativeClustering,bigrams,-0.06008583690987128,2
KMeans,stanford_ner_no_thomas_baker,-0.11764705882352947,2
MiniBatchKMeans,stanford_ner_no_thomas_baker,-0.11764705882352947,2
AgglomerativeClustering,primitive,-0.11351017890191237,3
KMeans,no_stop_words,-0.044847837693539755,3
MiniBatchKMeans,named_ent_2_no_tomas_barker,-0.044847837693539755,3
AgglomerativeClustering,primitive,-0.1496421600520495,4
KMeans,bigrams,-0.058949624866023516,4
MiniBatchKMeans,no_repeated_words,-0.09615384615384613,4
AgglomerativeClustering,primitive,-0.16732026143790849,5
KMeans,bigrams,-0.11130039750141958,5
MiniBatchKMeans,trigrams,-0.13772455089820362,5
AgglomerativeClustering,stemmed_txts,-0.14579191517561302,6
KMeans,primitive,0.0029985007496251713,6
MiniBatchKMeans,no_tomas_stemmed_no_stop,-0.058823529411764705,6
AgglomerativeClustering,stemmed_txts,-0.10894941634241244,7
KMeans,no_stop_words,-0.004882017900732276,7
MiniBatchKMeans,primitive,-0.007575757575757586,7
AgglomerativeClustering,no_stop_words,-0.07605177993527505,8
KMeans,primitive,-0.08227848101265822,8
MiniBatchKMeans,trigrams,-0.07193229901269399,8
AgglomerativeClustering,primitive,-0.11028806584362143,9
KMeans,no_tomas_baker,-0.008424599831508015,9
MiniBatchKMeans,bigrams,-0.029411764705882353,9
AgglomerativeClustering,primitive,-0.12323064113238967,10
KMeans,no_stop_words,0.01041666666666667,10
MiniBatchKMeans,trigrams,-0.04980544747081712,10
