Lito,Depth,BVTX,AVTX,RxoRt,CILD,RLL3,SP,RILD,RILM,DCAL,RHOB,RHOC,DPOR,CNLS,GR,MCAL,MI,MN,DT,ITT,SPOR
NA,-4.0000,0.0000,0.0000,-371.5927,38.1137,100000.0000,-999.2500,26.2373,-999.2500,1.2019,-0.4988,-2.3985,187.6473,-3.3450,302.2082,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-3.5000,0.0000,0.0000,-359.8099,38.1707,100000.0000,-999.2500,26.1981,-999.2500,1.2018,-0.6417,-2.1560,196.0070,-3.0594,239.7007,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-3.0000,0.0000,0.0000,-352.0008,48.3418,74397.6719,-999.2500,20.6861,-999.2500,1.2008,-0.7457,-1.9533,202.0893,-2.6323,196.9411,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-2.5000,0.0000,0.0000,-378.4751,136.5182,5706.1465,-999.2500,7.3250,-999.2500,1.2009,-0.8109,-1.8177,205.8994,-2.2820,214.6203,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-2.0000,0.0000,0.0000,-423.3124,381.3292,20051.4922,-999.2500,2.6224,-999.2500,1.2016,-0.8552,-1.7706,208.4895,-2.3135,325.6511,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-1.5000,0.0000,0.0000,-463.3923,687.5903,100000.0000,-999.2500,1.4544,-999.2500,1.2029,-0.9019,-1.8252,211.2199,-2.6388,511.0237,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-1.0000,0.0000,0.0000,-479.0977,704.8609,100000.0000,-999.2500,1.4187,-999.2500,1.2025,-0.9621,-1.9714,214.7455,-2.9740,679.1686,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,-0.5000,0.0000,0.0000,-230.2183,171.4922,50000.0000,-97.2131,1.5236,-499.6250,0.6004,-0.4733,-1.0606,106.9216,-1.6371,375.5283,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,0.0000,0.0000,0.0000,-230.2183,171.4922,50000.0000,-97.2131,1.5236,-499.6250,0.6004,-0.4733,-1.0606,106.9216,-1.6371,375.5283,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,0.5000,0.0000,0.0000,-419.2439,103.3776,100000.0000,-182.0589,9.6733,-999.2500,1.2009,-0.3812,-1.7372,180.7727,-3.5164,701.5826,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,1.0000,0.0000,0.0000,-420.7349,106.0889,100000.0000,-186.2880,9.4261,84.9648,1.2029,-0.0268,-1.4062,160.0453,-3.5588,681.0237,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,1.5000,0.0000,0.0000,-411.6855,84.0482,100000.0000,-196.2918,11.8979,25.6947,1.2163,0.2051,-1.1657,146.4852,-3.5384,696.5751,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,2.0000,0.0000,0.0000,-377.6491,35.2210,100000.0000,-210.0890,28.3922,15.2352,1.2362,0.3616,-1.0066,137.3338,-3.5076,723.2695,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,2.5000,0.0000,0.0000,-312.4199,6.6438,100000.0000,-225.8557,150.5169,11.8396,1.2428,0.5039,-0.8842,129.0094,-3.5301,719.2789,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,3.0000,0.0000,0.0000,-323.1129,8.7363,100000.0000,-241.6198,114.4644,10.8752,1.2452,0.6738,-0.7522,119.0744,-3.5980,637.5606,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,3.5000,0.0000,0.0000,-336.1388,12.1878,100000.0000,-255.3993,82.0493,11.0495,1.2471,0.8744,-0.5906,107.3428,-3.6531,489.0746,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,4.0000,0.0000,0.0000,-58.4376,0.0000,100000.0000,-265.7263,100000.0000,11.8269,1.2480,1.0698,-0.4199,95.9173,-3.6667,356.9845,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,4.5000,0.0000,0.0000,-58.4881,0.0000,100000.0000,-272.1359,100000.0000,13.0338,1.2425,1.2231,-0.2745,86.9534,-3.6460,286.7208,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,5.0000,0.0000,0.0000,-58.5425,0.0000,100000.0000,-275.1190,100000.0000,14.6678,1.2344,1.3298,-0.1689,80.7144,-3.5873,254.0962,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,5.5000,0.0000,0.0000,-58.5594,0.0000,100000.0000,-275.5335,100000.0000,16.6293,1.2359,1.4130,-0.0909,75.8505,-3.4653,224.7199,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,6.0000,0.0000,0.0000,-58.4450,0.0000,100000.0000,-274.0768,100000.0000,18.5796,1.2390,1.4966,-0.0180,70.9580,-3.2305,194.6365,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,6.5000,0.0000,0.0000,-57.9286,0.0000,100000.0000,-271.2588,100000.0000,20.0379,1.2399,1.5813,0.0602,66.0034,-2.7675,171.7271,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,7.0000,0.0000,0.0000,-56.2794,0.0000,100000.0000,-267.7752,100000.0000,20.6910,1.2374,1.6493,0.1384,62.0304,-2.0673,155.7630,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
NA,7.5000,0.0000,0.0000,-52.0681,0.0000,100000.0000,-264.7912,100000.0000,20.6066,1.2258,1.6962,0.2123,59.2837,-1.4749,151.3519,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
