Sex,Ht,Wt,BMI,Bfat,Sport
1,195.9,78.9,20.56,19.75,b_ball
1,189.7,74.4,20.67,21.3,b_ball
1,177.8,69.1,21.86,19.88,b_ball
1,185,74.9,21.88,23.66,b_ball
1,184.6,64.6,18.96,17.64,b_ball
1,174,63.7,21.04,15.58,b_ball
1,186.2,75.2,21.69,19.99,b_ball
1,173.8,62.3,20.62,22.43,b_ball
1,171.4,66.5,22.64,17.95,b_ball
1,179.9,62.9,19.44,15.07,b_ball
1,193.4,96.3,25.75,28.83,b_ball
1,188.7,75.5,21.2,18.08,b_ball
1,169.1,63,22.03,23.3,b_ball
1,177.9,80.5,25.44,17.71,row
1,177.5,71.3,22.63,18.77,row
1,179.6,70.5,21.86,19.83,row
1,181.3,73.2,22.27,25.16,row
1,179.7,68.7,21.27,18.04,row
1,185.2,80.5,23.47,21.79,row
1,177.3,72.9,23.19,22.25,row
1,179.3,74.5,23.17,16.25,row
1,175.3,75.4,24.54,16.38,row
1,174,69.5,22.96,19.35,row
1,183.3,66.4,19.76,19.2,row
1,184.7,79.7,23.36,17.89,row
1,180.2,73.6,22.67,12.2,row
1,180.2,78.7,24.24,23.7,row
1,176,75,24.21,24.69,row
1,156,49.8,20.46,16.58,row
1,179.7,67.2,20.81,21.47,row
1,180.9,66,20.17,20.12,row
1,179.5,74.3,23.06,17.51,row
1,178.9,78.1,24.4,23.7,row
1,182.1,79.5,23.97,22.39,row
1,186.3,78.5,22.62,20.43,row
1,176.8,59.9,19.16,11.29,netball
1,172.6,63,21.15,25.26,netball
1,176,66.3,21.4,19.39,netball
1,169.9,60.7,21.03,19.63,netball
1,183,72.9,21.77,23.11,netball
1,178.2,67.9,21.38,16.86,netball
1,177.3,67.5,21.47,21.32,netball
1,174.1,74.1,24.45,26.57,netball
1,173.6,68.2,22.63,17.93,netball
1,173.7,68.8,22.8,24.97,netball
1,178.7,75.3,23.58,22.62,netball
1,183.3,67.4,20.06,15.01,netball
1,174.4,70,23.01,18.14,netball
1,173.3,74,24.64,26.78,netball
1,168.6,51.9,18.26,17.22,netball
1,174,74.1,24.47,26.5,netball
1,176,74.3,23.99,23.01,netball
1,172.2,77.8,26.24,30.1,netball
1,182.7,66.9,20.04,13.93,netball
1,180.5,83.8,25.72,26.65,netball
1,179.8,82.9,25.64,35.52,netball
1,179.6,64.1,19.87,15.59,netball
1,171.7,68.85,23.35,19.61,netball
1,170,64.8,22.42,14.52,swim
1,170,59,20.42,11.47,swim
1,180.5,72.1,22.13,17.71,swim
1,173.3,75.6,25.17,18.48,swim
1,173.5,71.4,23.72,11.22,swim
1,181,69.7,21.28,13.61,swim
1,175,63.9,20.87,12.78,swim
1,170.3,55.1,19,11.85,swim
1,165,60,22.04,13.35,swim
1,169.8,58,20.12,11.77,field
1,174.1,64.7,21.35,11.07,t_400m
1,175,87.5,28.57,21.3,field
1,171.1,78.9,26.95,20.1,field
1,172.7,83.9,28.13,24.88,field
1,175.6,82.8,26.85,19.26,field
1,171.6,74.4,25.27,19.51,field
1,172.3,94.8,31.93,23.01,field
1,171.4,49.2,16.75,8.07,t_400m
1,178,61.9,19.54,11.05,t_sprnt
1,162,53.6,20.42,12.39,t_400m
1,167.3,63.7,22.76,15.95,t_400m
1,162,52.8,20.12,9.91,t_400m
1,170.8,65.2,22.35,16.2,t_400m
1,163,50.9,19.16,9.02,t_400m
1,166.1,57.3,20.77,14.26,t_400m
1,176,60,19.37,10.48,t_400m
1,163.9,60.1,22.37,11.64,t_sprnt
1,173,52.5,17.54,12.16,t_400m
1,177,59.7,19.06,10.53,t_400m
1,168,57.3,20.3,10.15,t_sprnt
1,172,59.6,20.15,10.74,t_sprnt
1,167.9,71.5,25.36,20.86,tennis
1,177.5,69.7,22.12,19.64,tennis
1,162.5,56.1,21.25,17.07,tennis
1,172.5,61.1,20.53,15.31,tennis
1,166.7,47.4,17.06,11.07,tennis
1,175,56,18.29,12.92,tennis
1,157.9,45.8,18.37,8.45,tennis
1,158.9,47.8,18.93,10.16,gym
1,156.9,43.8,17.79,12.55,gym
1,148.9,37.8,17.05,9.1,gym
1,149,45.1,20.31,13.46,gym
0,172.7,67,22.46,8.47,swim
0,176.5,74.4,23.88,7.68,swim
0,183,79.3,23.68,6.16,swim
0,194.4,87.5,23.15,8.56,swim
0,193.4,83.5,22.32,6.86,swim
0,180.2,78,24.02,9.4,swim
0,183,78,23.29,9.17,swim
0,184,85,25.11,8.54,swim
0,192.7,84.7,22.81,9.2,swim
0,187.2,92,26.25,11.72,swim
0,183.9,72.3,21.38,8.44,swim
0,192,83,22.52,7.19,swim
0,190.4,96.9,26.73,6.46,swim
0,190.7,85.7,23.57,9,row
0,181.8,85.4,25.84,12.61,row
0,188.3,85.3,24.06,9.03,row
0,198,93.5,23.85,6.96,row
0,186,86.8,25.09,10.05,row
0,192,87.9,23.84,9.56,row
0,185.6,87.2,25.31,9.36,row
0,165.3,53.8,19.69,10.81,row
0,185.6,89.8,26.07,8.61,row
0,189,91.1,25.5,9.53,row
0,193.4,88.6,23.69,7.42,row
0,185.6,92.3,26.79,9.79,row
0,194.6,97,25.61,8.97,row
0,189,89.5,25.06,7.49,row
0,188.1,88.2,24.93,11.95,row
0,200.4,92.2,22.96,7.35,b_ball
0,195.3,78.9,20.69,7.16,b_ball
0,194.1,90.3,23.97,8.77,b_ball
0,187.9,87,24.64,9.56,b_ball
0,209.4,113.7,25.93,14.53,b_ball
0,203.4,98,23.69,8.51,b_ball
0,198.7,100.2,25.38,10.64,b_ball
0,187.1,79.4,22.68,7.06,b_ball
0,196.6,90.3,23.36,8.87,b_ball
0,186.1,77.7,22.44,7.88,b_ball
0,192.8,83.9,22.57,9.2,b_ball
0,195.2,75.5,19.81,7.19,b_ball
0,169.1,60.6,21.19,6.06,t_400m
0,186.6,71,20.39,5.63,t_400m
0,184.4,71.8,21.12,6.59,t_400m
0,187.3,76.8,21.89,9.5,t_400m
0,185.1,102.7,29.97,13.97,field
0,185.5,94.25,27.39,11.66,field
0,184.9,79,23.11,6.43,field
0,175,66.6,21.75,6.99,t_400m
0,185.4,71.8,20.89,6,t_400m
0,181,74.8,22.83,6.56,t_400m
0,176,68.2,22.02,6.03,t_400m
0,176.2,62.3,20.07,6.33,t_400m
0,174,61,20.15,6.82,t_400m
0,191,77.5,21.24,6.2,t_400m
0,171,57.4,19.63,5.93,t_400m
0,174,71.4,23.58,5.8,t_sprnt
0,180.2,70.3,21.65,6.56,t_sprnt
0,178.5,80.2,25.17,6.76,t_sprnt
0,190.3,84.2,23.25,7.22,field
0,185,111.3,32.52,8.51,field
0,189,80.7,22.59,7.72,field
0,180.1,97.9,30.18,19.94,field
0,189.2,123.2,34.42,13.91,field
0,182.6,72.9,21.86,6.1,t_sprnt
0,186,83,23.99,7.52,t_sprnt
0,174.9,75.9,24.81,9.56,t_sprnt
0,180.6,70.7,21.68,6.06,t_400m
0,178.6,67.1,21.04,7.35,t_400m
0,173,69.2,23.12,6,t_400m
0,179.7,67.05,20.76,6.92,t_400m
0,174.6,70.5,23.13,6.33,t_sprnt
0,178,70.8,22.35,5.9,t_sprnt
0,178.5,71,22.28,8.84,t_400m
0,171.3,69.1,23.55,8.94,t_sprnt
0,178,62.9,19.85,6.53,t_400m
0,189.1,94.8,26.51,9.4,t_sprnt
0,195.4,94.6,24.78,8.18,field
0,179.1,108.2,33.73,17.41,field
0,180.1,97.9,30.18,18.08,field
0,179.6,75.2,23.31,9.86,field
0,174.7,74.8,24.51,7.29,t_sprnt
0,192.7,94.2,25.37,18.72,w_polo
0,179.3,76.1,23.67,10.12,w_polo
0,197.5,94.7,24.28,19.17,w_polo
0,182.7,86.2,25.82,17.24,w_polo
0,190.5,79.6,21.93,9.89,w_polo
0,191,85.3,23.38,13.06,w_polo
0,179.6,74.4,23.07,8.84,w_polo
0,192.6,93.5,25.21,8.87,w_polo
0,194.1,87.6,23.25,14.69,w_polo
0,193,85.4,22.93,8.64,w_polo
0,193.9,101,26.86,14.98,w_polo
0,187.7,74.9,21.26,7.82,w_polo
0,185.3,87.3,25.43,8.97,w_polo
0,191.5,90,24.54,11.63,w_polo
0,184.6,94.7,27.79,13.49,w_polo
0,179.9,76.3,23.58,10.25,w_polo
0,183.9,93.2,27.56,11.79,w_polo
0,183.5,80,23.76,10.05,tennis
0,183.1,73.8,22.01,8.51,tennis
0,178.4,71.1,22.34,11.5,tennis
0,190.8,76.7,21.07,6.26,tennis
