trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
5_I11-5_I11_06:02:00_1_2_5__1___,06:02:00,06:02:00,par_5_61,0,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:05:00,06:05:00,par_5_57,1,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:07:00,06:07:00,par_5_25,2,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:09:00,06:09:00,par_5_46,3,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:15:00,06:15:00,par_5_11,4,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:18:00,06:18:00,par_5_65,5,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:22:00,06:22:00,par_5_51,6,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:29:00,06:29:00,par_5_18,7,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:33:00,06:33:00,par_5_133,8,,,,
5_I11-5_I11_06:02:00_1_2_5__1___,06:41:00,06:41:00,par_5_142,9,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:32:00,06:32:00,par_5_61,0,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:35:00,06:35:00,par_5_57,1,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:37:00,06:37:00,par_5_25,2,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:39:00,06:39:00,par_5_46,3,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:44:00,06:44:00,par_5_11,4,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:47:00,06:47:00,par_5_65,5,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:51:00,06:51:00,par_5_51,6,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,06:58:00,06:58:00,par_5_18,7,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,07:02:00,07:02:00,par_5_133,8,,,,
5_I11-5_I11_06:32:00_1_3_5__1___,07:10:00,07:10:00,par_5_142,9,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:02:00,07:02:00,par_5_61,0,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:05:00,07:05:00,par_5_57,1,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:07:00,07:07:00,par_5_25,2,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:09:00,07:09:00,par_5_46,3,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:14:00,07:14:00,par_5_11,4,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:17:00,07:17:00,par_5_65,5,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:21:00,07:21:00,par_5_51,6,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:28:00,07:28:00,par_5_18,7,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:32:00,07:32:00,par_5_133,8,,,,
5_I11-5_I11_07:02:00_1_4_5__1___,07:40:00,07:40:00,par_5_142,9,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:32:00,07:32:00,par_5_61,0,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:35:00,07:35:00,par_5_57,1,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:37:00,07:37:00,par_5_25,2,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:39:00,07:39:00,par_5_46,3,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:44:00,07:44:00,par_5_11,4,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:47:00,07:47:00,par_5_65,5,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:51:00,07:51:00,par_5_51,6,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,07:58:00,07:58:00,par_5_18,7,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,08:02:00,08:02:00,par_5_133,8,,,,
5_I11-5_I11_07:32:00_1_5_5__1___,08:10:00,08:10:00,par_5_142,9,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,07:59:00,07:59:00,par_5_61,0,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:02:00,08:02:00,par_5_57,1,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:04:00,08:04:00,par_5_25,2,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:06:00,08:06:00,par_5_46,3,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:11:00,08:11:00,par_5_11,4,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:14:00,08:14:00,par_5_65,5,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:18:00,08:18:00,par_5_51,6,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:26:00,08:26:00,par_5_18,7,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:32:00,08:32:00,par_5_133,8,,,,
5_I11-5_I11_07:59:00_1_6_5__1___,08:40:00,08:40:00,par_5_142,9,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:33:00,08:33:00,par_5_61,0,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:36:00,08:36:00,par_5_57,1,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:38:00,08:38:00,par_5_25,2,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:40:00,08:40:00,par_5_46,3,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:46:00,08:46:00,par_5_11,4,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:49:00,08:49:00,par_5_65,5,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,08:53:00,08:53:00,par_5_51,6,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,09:00:00,09:00:00,par_5_18,7,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,09:04:00,09:04:00,par_5_133,8,,,,
5_I11-5_I11_08:33:00_1_7_5__1___,09:12:00,09:12:00,par_5_142,9,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:27:00,21:27:00,par_5_142,0,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:36:00,21:36:00,par_5_133,1,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:41:00,21:41:00,par_5_18,2,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:46:00,21:46:00,par_5_51,3,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:50:00,21:50:00,par_5_65,4,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:55:00,21:55:00,par_5_11,5,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,21:58:00,21:58:00,par_5_46,6,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,22:00:00,22:00:00,par_5_25,7,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,22:03:00,22:03:00,par_5_57,8,,,,
5_I13-5_I13_21:27:00_2_69_5__1___,22:06:00,22:06:00,par_5_61,9,,,,
5_I13-5_I13_21:57:00_2_70_5__1___,21:57:00,21:57:00,par_5_142,0,,,,
5_I13-5_I13_21:57:00_2_70_5__1___,22:06:00,22:06:00,par_5_133,1,,,,
5_I13-5_I13_21:57:00_2_70_5__1___,22:11:00,22:11:00,par_5_18,2,,,,
5_I13-5_I13_21:57:00_2_70_5__1___,22:16:00,22:16:00,par_5_51,3,,,,
5_I13-5_I13_21:57:00_2_70_5__1___,22:20:00,22:20:00,par_5_65,4,,,,
