route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
5__C1___,5_I11,5_I11-5_I11_06:02:00_1_2_5__1___,AEROPUERTO T4,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:32:00_1_3_5__1___,AEROPUERTO T4,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:02:00_1_4_5__1___,AEROPUERTO T4,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:32:00_1_5_5__1___,AEROPUERTO T4,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:59:00_1_6_5__1___,AEROPUERTO T4,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_08:33:00_1_7_5__1___,AEROPUERTO T4,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I13,5_I13-5_I13_21:27:00_2_69_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_21:57:00_2_70_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_22:27:00_2_71_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_18:27:00_2_63_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_18:57:00_2_64_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_19:27:00_2_65_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_19:59:00_2_66_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_20:27:00_2_67_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_20:57:00_2_68_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_15:27:00_2_57_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_15:57:00_2_58_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_16:26:00_2_59_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_16:57:00_2_60_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_17:27:00_2_61_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_17:57:00_2_62_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_12:27:00_2_51_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_12:57:00_2_52_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_13:27:00_2_53_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_13:57:00_2_54_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_14:27:00_2_55_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_14:57:00_2_56_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_09:27:00_2_45_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_09:57:00_2_46_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_10:27:00_2_47_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_10:57:00_2_48_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_11:27:00_2_49_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_11:57:00_2_50_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_06:28:00_2_39_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_06:56:00_2_40_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_07:27:00_2_41_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_07:57:00_2_42_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_08:27:00_2_43_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_08:57:00_2_44_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_20:27:00_2_67_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_20:57:00_2_68_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_21:27:00_2_69_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_21:57:00_2_70_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_22:27:00_2_71_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I13,5_I13-5_I13_05:58:00_2_38_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_17:27:00_2_61_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_17:57:00_2_62_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_18:27:00_2_63_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_18:57:00_2_64_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_19:27:00_2_65_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_19:59:00_2_66_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_14:27:00_2_55_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_14:57:00_2_56_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_15:27:00_2_57_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_15:57:00_2_58_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_16:26:00_2_59_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_16:57:00_2_60_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_11:27:00_2_49_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_11:57:00_2_50_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_12:27:00_2_51_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_12:57:00_2_52_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_13:27:00_2_53_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_13:57:00_2_54_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_08:27:00_2_43_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_08:57:00_2_44_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_09:27:00_2_45_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_09:57:00_2_46_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_10:27:00_2_47_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_10:57:00_2_48_5__1___,PIRAMIDES,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_21:57:00_2_68_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_22:27:00_2_69_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_05:58:00_2_38_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_06:56:00_2_40_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_07:27:00_2_41_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I12,5_I12-5_I12_07:57:00_2_42_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_18:57:00_2_63_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_19:31:00_2_64_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_19:59:00_2_65_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_20:31:00_2_74_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_20:57:00_2_66_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_21:27:00_2_67_5__1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-Príncipe Pío,1,,5__1____2__IT_1,0
