trip_id,start_time,end_time,headway_secs,exact_times
4_I12-001_2015I12_1_1_4__1___,00:00:00,01:00:00,780,
4_I12-001_2015I12_2_1_4__1___,00:00:00,01:00:00,780,
4_I12-001_2015I12_1_1_4__1___,01:00:00,02:00:00,900,
4_I12-001_2015I12_2_1_4__1___,01:00:00,02:00:00,900,
4_I12-001_2015I12_1_1_4__1___,06:05:00,07:00:00,540,
4_I12-001_2015I12_2_1_4__1___,06:05:00,07:00:00,540,
4_I12-001_2015I12_1_1_4__1___,07:00:00,09:00:00,480,
4_I12-001_2015I12_2_1_4__1___,07:00:00,09:00:00,480,
4_I12-001_2015I12_1_1_4__1___,09:00:00,17:00:00,450,
4_I12-001_2015I12_2_1_4__1___,09:00:00,17:00:00,450,
4_I12-001_2015I12_1_1_4__1___,17:00:00,18:00:00,390,
4_I12-001_2015I12_2_1_4__1___,17:00:00,18:00:00,390,
4_I12-001_2015I12_1_1_4__1___,18:00:00,21:30:00,330,
4_I12-001_2015I12_2_1_4__1___,18:00:00,21:30:00,330,
4_I12-001_2015I12_1_1_4__1___,21:30:00,22:00:00,480,
4_I12-001_2015I12_2_1_4__1___,21:30:00,22:00:00,480,
4_I12-001_2015I12_1_1_4__1___,22:00:00,23:00:00,450,
4_I12-001_2015I12_2_1_4__1___,22:00:00,23:00:00,450,
4_I12-001_2015I12_1_1_4__1___,23:00:00,24:00:00,540,
4_I12-001_2015I12_2_1_4__1___,23:00:00,24:00:00,540,
4_I13-001_2015I13_1_1_4__1___,06:05:00,07:00:00,540,
4_I13-001_2015I13_2_1_4__1___,06:05:00,07:00:00,540,
4_I13-001_2015I13_1_1_4__1___,07:00:00,17:00:00,480,
4_I13-001_2015I13_2_1_4__1___,07:00:00,17:00:00,480,
4_I13-001_2015I13_1_1_4__1___,17:00:00,20:00:00,450,
4_I13-001_2015I13_2_1_4__1___,17:00:00,20:00:00,450,
4_I13-001_2015I13_1_1_4__1___,20:00:00,21:30:00,480,
