	transportmean_name	line_number	order_number	stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station	stop_timezone	wheelchair_boarding	metro_linked	ml_linked	cr_linked	accesible	parking
0	METRO	1	1_4	par_4_1	1	Plaza de Castilla	Paseo de la Castellana 189	40.4669075950714	-3.6890848237703198	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_1.aspx	0	est_4_1		0	9/10	No	No	Yes	Yes
1	METRO	1	1_26	par_4_23	23	Alto del Arenal	Calle de Santillana del Mar 21	40.3897835124929	-3.6451283445472002	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_23.aspx	0	est_4_23		2	No	No	No	Yes	No
2	METRO	1	1_27	par_4_24	24	Miguel Hernández	Calle de León Felipe 4 A	40.387328765717605	-3.63941435245283	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_24.aspx	0	est_4_24		2	No	No	No	Yes	Yes
3	METRO	1	1_28	par_4_25	25	 Sierra de Guadalupe	Avda de la Democracia 1	40.382175348242605	-3.6246278133375798	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_25.aspx	0	est_4_25		2	No	No	C-2/C-7/C-8	Yes	No
4	METRO	1	1_29	par_4_26	26	Villa de Vallecas	Paseo de Federico García Lorca 2	40.379608163445894	-3.62121135337431	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_26.aspx	0	est_4_26		2	No	No	No	Yes	No
5	METRO	1	1_3	par_4_261	261	Chamartín	Calle de Agustín de Foxá 40	40.4720366992766	-3.68249582773816	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_261.aspx	0	est_4_261		2	10	No	C-1/C-2/C-3/C-4/C-7/C-8/C-10	Yes	Yes
6	METRO	1	1_2	par_4_262	262	Bambú	Calle del Bambú 14	40.4768209067147	-3.6762798886686303	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_262.aspx	0	est_4_262		2	No	No	No	Yes	No
7	METRO	1	1_30	par_4_27	27	Congosto	Calle del Congosto 48	40.3723960977599	-3.61875395744286	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_27.aspx	0	est_4_27		2	No	No	No	Yes	No
8	METRO	1	1_31	par_4_293	293	La Gavia	Avda del Ensanche de Vallecas 16	40.3701995232585	-3.61337453938016	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_293.aspx	0	est_4_293		2	No	No	No	Yes	No
9	METRO	1	1_32	par_4_294	294	Las Suertes	Calle de Cañada del Santísimo 45	40.3632365384622	-3.59943748611808	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_294.aspx	0	est_4_294		2	No	No	No	Yes	No
10	METRO	1	1_33	par_4_295	295	Valdecarros	Avda del Ensanche de Vallecas 120 A	40.360080142961	-3.59307350871468	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_295.aspx	0	est_4_295		2	No	No	No	Yes	No
11	METRO	1	1_6	par_4_3	3	Tetuán	Calle de Bravo Murillo 264	40.4605649379565	-3.6981607321868504	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_3.aspx	0	est_4_3		0	No	No	No	No	No
12	METRO	1	1_7	par_4_4	4	Estrecho	Calle de Bravo Murillo 191	40.4542928728922	-3.70293109488463	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_4.aspx	0	est_4_4		0	No	No	No	No	No
13	METRO	1	1_8	par_4_5	5	Alvarado	Calle de Bravo Murillo 138	40.450345222565296	-3.7032201541021497	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_5.aspx	0	est_4_5		0	No	No	No	No	No
14	METRO	1	1_9	par_4_6	6	Cuatro Caminos	Gta de Cuatro Caminos 2	40.446980884885896	-3.70388082041143	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_6.aspx	0	est_4_6		2	2/6	No	No	Yes	No
15	METRO	1	1_10	par_4_7	7	Ríos Rosas	Calle de Ríos Rosas 22	40.4419880199277	-3.7012346662476	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_7.aspx	0	est_4_7		0	No	No	No	No	No
16	METRO	1	1_11	par_4_8	8	Iglesia	Gta del Pintor Sorolla 2	40.4349302509152	-3.6988858666646403	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_8.aspx	0	est_4_8		2	No	No	No	Yes	No
17	METRO	1	1_12	par_4_9	9	Bilbao	Calle de Sagasta 2	40.429064043816204	-3.70209068081661	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_9.aspx	0	est_4_9		0	4	No	No	No	No
18	METRO	1	1_25	par_4_22	22	Buenos Aires	Avda de la Albufera 179	40.391572544053105	-3.65381730286117	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_22.aspx	0	est_4_22		0	No	No	No	No	No
19	METRO	1	1_24	par_4_21	21	Portazgo	Avda de la Albufera 131	40.3926715936915	-3.6585881203293997	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_21.aspx	0	est_4_21		0	No	No	No	No	No
20	METRO	1	1_1	par_4_263	263	Pinar de Chamartín	Calle de Arturo Soria 330	40.4801467240269	-3.6667097576830296	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_263.aspx	0	est_4_263		2	4	1	No	Yes	No
21	METRO	1	1_5	par_4_2	2	Valdeacederas	Calle de Bravo Murillo 332	40.464430962000606	-3.69496888768969	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_2.aspx	0	est_4_2		0	No	No	No	No	No
22	METRO	1	1_13	par_4_10	10	Tribunal	Calle de Fuencarral 81	40.4261967446581	-3.7010116898124803	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_10.aspx	0	est_4_10		0	10	No	No	No	No
23	METRO	1	1_23	par_4_20	20	Nueva Numancia	Avda de la Albufera 70	40.3955502689652	-3.6640481968664105	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_20.aspx	0	est_4_20		0	No	No	No	No	No
