Data Source in SDW: null
,IVF.Q.AT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.BE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.CY.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.CZ.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.DE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.EE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.ES.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.FI.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.FR.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.GR.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.HU.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.IE.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.IT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.LT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.LU.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.LV.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.MT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.NL.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.PL.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.PT.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.RO.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.SI.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.SK.N.T0.A52.A.1.Z5.0000.Z01.E,IVF.Q.U2.N.T0.A52.A.1.Z5.0000.Z01.E
,Austria,Belgium,Cyprus,Czech Republic,Germany,Estonia,Spain,Finland,France,Greece (GR),Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Slovakia,Euro area (changing composition)
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro]
2017Q1,56797,62153,73,3208,397440,129,70709,30877,295759,522,3689,237774,63040,30,513144,22,1740,122977,4376,2903,477,165,2106,1858360
2016Q4,54635,59037,56,3247,377951,122,65468,29062,280088,512,3296,226990,61578,27,488552,22,2326,121787,4008,2712,438,156,1951,1773032
2016Q3,53529,56891,52,3098,362849,131,63076,27979,274916,502,3089,218972,59503,26,474642,22,2354,112733,3947,2586,441,150,1875,1712789
2016Q2,50355,55377,53,2932,345345,130,59560,26565,269721,504,2984,211331,56986,91,457805,18,2180,112648,3674,2617,417,155,1768,1653210
2016Q1,49282,55031,50,2703,328558,124,58642,25933,256199,508,3098,205429,53738,91,452683,16,2603,108743,3840,2783,428,151,1740,1602303
2015Q4,49366,55289,65,2522,320075,138,60950,26128,260667,533,3110,216367,53717,91,463631,32,2710,109640,3988,2927,460,154,1729,1624208
2015Q3,46688,50411,63,2240,300468,133,57781,24191,253343,578,3070,208426,50465,90,439355,30,2379,104642,4059,2787,482,145,1582,1543558
2015Q2,50136,51513,74,2381,310911,152,57077,25623,264200,620,3206,223153,49288,88,457873,31,2479,103255,4576,2863,479,175,1615,1601126
2015Q1,50704,51088,64,2192,311943,158,46674,22672,260080,624,3271,203923,45787,90,456243,29,2358,105936,4444,2830,467,186,1538,1562926
2014Q4,45439,43318,46,1800,289561,144,37033,20121,239324,497,2844,184725,38825,81,395761,19,1834,99121,3625,2308,423,148,1291,1399515
2014Q3,44403,40387,46,1534,265146,143,31094,17874,237474,444,2690,178263,33873,79,360755,21,1586,91093,3248,2199,383,148,1141,1306089
