Date,EEUU_DJI,UK_LSE,Spain_IBEX35,Japan_N225,EEUU_Unem,UK_Unem,Spain_Unem,Japan_Unem
2000-01,10940.530273,None,12585.799805,19959.519531,4.0,5.8,None,4.7
2000-02,10128.30957,None,11935.0,20337.320313,4.1,5.8,None,4.9
2000-03,10921.919922,None,11467.900391,17973.699219,4.0,5.7,None,4.9
2000-04,10733.910156,None,10688.5,16332.450195,3.8,5.6,None,4.8
2000-05,10522.330078,None,10581.299805,17411.050781,4.0,5.5,None,4.6
2000-06,10447.889648,None,10531.599609,15727.490234,4.0,5.3,None,4.7
2000-07,10521.980469,None,10884.700195,16861.259766,4.0,5.3,None,4.7
2000-08,11215.099609,None,10950.0,15747.259766,4.1,5.3,None,4.6
2000-09,10650.919922,None,10363.099609,14539.599609,3.9,5.4,None,4.7
2000-10,10971.139648,None,9214.5,14648.509766,3.9,5.3,None,4.7
2000-11,10414.490234,None,9109.799805,13785.69043,3.9,5.2,None,4.7
2000-12,10787.990234,None,10116.0,13843.549805,3.9,5.2,None,4.8
2001-01,10887.360352,None,9551.400391,12883.540039,4.2,5.2,None,4.8
2001-02,10495.280273,None,9308.299805,12999.700195,4.2,5.1,None,4.7
2001-03,9878.780273,None,9761.0,13934.320313,4.3,5.0,None,4.8
2001-04,10734.969727,None,9500.700195,13262.139648,4.4,4.9,None,4.8
2001-05,10911.94043,None,8878.400391,12969.049805,4.3,5.0,None,4.9
2001-06,10502.400391,None,8480.0,11860.769531,4.5,5.0,None,5.0
2001-07,10522.80957,242.950272,8321.099609,10713.509766,4.6,5.1,None,5.0
2001-08,9949.75,228.73886099999999,7314.0,9774.679688,4.9,5.1,None,5.1
2001-09,8847.55957,235.167435,7774.299805,10366.339844,5.0,5.1,None,5.3
2001-10,9075.139648,None,8364.700195,10697.44043,5.3,5.1,None,5.3
2001-11,9851.55957,249.04115299999998,8397.599609,10542.620117,5.5,5.2,None,5.4
2001-12,10021.570313,285.58459500000004,8050.399901999999,9997.799805,5.7,5.2,None,5.4
2002-01,9920.0,277.46402,8135.5,10587.830078,5.7,5.1,11.55,5.2
2002-02,10106.129883,278.817413,8249.700195,11024.94043,5.7,5.2,11.55,5.3
2002-03,10403.94043,308.593719,8154.399901999999,11492.540039,5.7,5.2,11.55,5.3
2002-04,9946.219727,318.068573,7949.899901999999,11763.700195,5.9,5.2,11.15,5.3
2002-05,9925.25,278.47885099999996,6913.0,10621.839844,5.8,5.2,11.15,5.4
2002-06,9243.259766,249.378845,6249.299805,9877.94043,5.8,5.2,11.15,5.5
2002-07,8736.589844,247.01055899999997,6435.700195,9619.299805,5.8,5.2,11.49,5.4
2002-08,8663.5,231.445709,5431.700195,9383.290039,5.7,5.3,11.49,5.5
2002-09,7591.930176000001,224.340012,6139.399902,8640.480469,5.7,5.2,11.49,5.4
2002-10,8397.030273,None,6685.600098,9215.55957,5.7,5.2,11.61,5.4
2002-11,8896.089844,216.557144,6036.899902,8578.950195,5.9,5.1,11.61,5.2
2002-12,8341.629883,213.681427,5947.700195,8339.94043,6.0,5.0,11.61,5.4
2003-01,8053.810059,223.15542599999998,5999.399902,8363.040039,5.8,5.1,11.99,5.4
2003-02,7891.080078,216.21858199999997,5870.5,7972.709961,5.9,5.2,11.99,5.2
2003-03,7992.129883,219.94113199999998,6489.5,7831.419922,5.9,5.1,11.99,5.4
2003-04,8480.089844,231.10714700000003,6508.5,8424.509766,6.0,5.0,11.28,5.5
2003-05,8850.259766,230.0923,6862.0,9083.110352,6.1,4.9,11.28,5.4
2003-06,8985.44043,222.64801,7061.700195,9563.209961,6.3,5.1,11.28,5.4
2003-07,9233.799805,234.998581,7111.299805,10343.549805,6.2,5.1,11.3,5.2
2003-08,9415.820313,230.93829300000002,6703.600098,10219.049805,6.1,5.0,11.3,5.1
2003-09,9275.05957,258.853729,7129.5,10559.589844,6.1,5.0,11.3,5.2
2003-10,9801.120117,None,7252.5,10100.570313,6.0,4.9,11.37,5.1
2003-11,9782.459961,238.38171400000002,7737.200195,10676.639648,5.8,4.9,11.37,5.1
2003-12,10453.919922,226.70829799999998,7929.899901999999,10783.610352,5.7,4.8,11.37,4.9
2004-01,10488.070313,245.995712,8249.400391,11041.919922,5.7,4.8,11.5,4.9
2004-02,10583.919922,238.043991,8018.100098000001,11715.389648,5.6,4.8,11.5,5.0
2004-03,10357.700195,236.01342799999998,8109.5,11761.790039,5.8,4.8,11.5,4.8
